,gene_symbol,DE,adj_pval_DE,SD_ratio,LFC,DV,adj_pval_DV,DS,adj_pval_DS,de_bs,dv_bs,ds_bs
ENSG00000278977,AC003101.3,-0.194941401,0.05542515,0.572855491,-0.803756844,-0.199754343,0.001783773,-0.816940605,0.667969059,0,1,0
ENSG00000197696,NMB,-0.046584746,1,0.785891657,-0.347597658,-0.112227215,0.847259418,-0.816910921,0.189976668,0,0,0
ENSG00000134186,PRPF38B,0.011212563,1,0.821471319,-0.28371789,-0.046549996,1,-0.816706126,0.391014019,0,0,0
ENSG00000182324,KCNJ14,-0.06956734,1,0.729876355,-0.45427601,-0.103484367,0.251238188,-0.816514579,0.527933093,0,0,0
ENSG00000176542,USF3,0.143520301,0.00089006,0.626872162,-0.67375683,-0.09074947,0.010317231,-0.816452928,1,0,0,0
ENSG00000148384,INPP5E,-0.034112957,1,0.734614601,-0.444940524,-0.055415799,0.28090569,-0.816374094,1,0,0,0
ENSG00000220563,PKMP3,0.009329406,1,0.832243948,-0.264921621,-0.049249705,1,-0.816234139,0.415332419,0,0,0
ENSG00000213903,LTB4R,-0.115937131,1,0.771512219,-0.374239089,-0.093796934,0.717376698,-0.816228424,1,0,0,0
ENSG00000066056,TIE1,0.290356134,0.029706876,0.943356706,-0.084124703,-0.031097611,1,-0.8160202,1,0,0,0
ENSG00000122779,TRIM24,-0.044375149,1,0.728666082,-0.456670258,-0.051860539,0.250222101,-0.815996519,0.883974813,0,0,0
ENSG00000177150,FAM210A,-0.085460525,0.096643226,0.63021065,-0.666093961,-0.078576471,0.012230341,-0.815789301,0.920350516,0,0,0
ENSG00000147168,IL2RG,0.414844367,0.008647424,1.094186831,0.129859098,0.061864826,1,-0.815753147,1,1,0,0
ENSG00000272630,AL731563.3,-0.060336511,1,0.783550541,-0.35190176,-0.082936328,0.768611896,-0.815395473,0.631394591,0,0,0
ENSG00000140326,CDAN1,-0.050768334,1,0.774740071,-0.368215734,-0.053778283,0.684058441,-0.815390435,1,0,0,0
ENSG00000164403,SHROOM1,-0.010028373,1,0.674738325,-0.567599986,-0.164819964,0.066755436,-0.815097368,2.61E-08,0,0,1
ENSG00000099260,PALMD,0.094192857,1,0.98952798,-0.015187593,-0.004816306,1,-0.814965512,0.971193846,0,0,0
ENSG00000083223,ZCCHC6,0.077342943,0.507272912,0.690477367,-0.53433397,-0.074711519,0.080208699,-0.814933295,0.229473093,0,0,0
ENSG00000175489,LRRC25,0.136069526,1,0.77105882,-0.375087175,-0.168553231,0.58159833,-0.814707239,0.169432188,0,0,0
ENSG00000105373,NOP53,-0.094172852,0.783190838,0.58188951,-0.781182856,-0.142268159,0.002969399,-0.813967742,1,0,1,0
ENSG00000158850,B4GALT3,-0.024533263,1,0.873149958,-0.195698646,-0.021448942,1,-0.813714451,0.946789634,0,0,0
ENSG00000133226,SRRM1,-0.162395704,0.005923722,0.581061306,-0.78323771,-0.13363856,0.003372654,-0.813656346,4.26E-05,0,1,1
ENSG00000075426,FOSL2,0.342682526,0.001534292,0.851508316,-0.231907476,-0.080490503,1,-0.813630532,0.656028809,1,0,0
ENSG00000003400,CASP10,0.052097737,1,0.771137767,-0.374939468,-0.112236241,0.628902224,-0.813282851,1,0,0,0
ENSG00000205696,ADARB2-AS1,0.041088145,1,0.974330065,-0.037517511,-0.030614711,1,-0.813274196,1,0,0,0
ENSG00000140511,HAPLN3,0.201462546,0.561515515,0.930323184,-0.104196116,-0.039956909,1,-0.813200916,0.295637766,0,0,0
ENSG00000205903,ZNF316,-0.039604896,1,0.840477459,-0.250718967,-0.039496734,1,-0.813143717,0.571760013,0,0,0
ENSG00000230454,U73166.1,-0.27893787,0.00627589,0.780551178,-0.357434868,-0.110311476,0.772712749,-0.812983487,0.839682602,1,0,0
ENSG00000280328,ENSG00000280328,-0.117082574,0.555566606,0.61766473,-0.695104144,-0.147899398,0.015044981,-0.812843771,0.284048775,0,0,0
ENSG00000165879,FRAT1,0.10786803,0.045080685,1.031394946,0.044596881,0.006397608,1,-0.812469971,1,0,0,0
ENSG00000173926,MARCH3,0.252470074,0.022348189,0.751454818,-0.412241731,-0.128344571,0.413184017,-0.812325281,0.377605637,0,0,0
ENSG00000162889,MAPKAPK2,0.251003795,0.006502879,0.817458605,-0.290782418,-0.081626044,1,-0.812238289,0.121720533,1,0,0
ENSG00000267041,ZNF850,0.127759837,0.394972953,0.929739652,-0.105101309,-0.023985261,1,-0.812179447,0.652816806,0,0,0
ENSG00000010310,GIPR,0.20386797,1,0.863787874,-0.211251031,-0.126309127,1,-0.812041608,1,0,0,0
ENSG00000111203,ITFG2,-0.120535196,0.005301414,0.649613988,-0.622345397,-0.079666038,0.024947579,-0.81184438,1,0,0,0
ENSG00000132613,MTSS1L,0.237169955,0.038952596,0.881859549,-0.181379194,-0.056396771,1,-0.81184181,0.360584643,0,0,0
ENSG00000099381,SETD1A,0.041858593,1,0.863686815,-0.21141983,-0.028900844,1,-0.811454021,0.885113239,0,0,0
ENSG00000116157,GPX7,0.079536203,0.864841411,0.82323671,-0.280620779,-0.046473982,1,-0.811446294,1,0,0,0
ENSG00000186446,ZNF501,-0.055008102,1,0.957800539,-0.062202847,-0.014027389,1,-0.811400958,1,0,0,0
ENSG00000253106,AC090198.1,-0.04118072,1,0.791239729,-0.337813228,-0.056679126,0.92942944,-0.810992289,0.388633566,0,0,0
ENSG00000272821,U62317.3,-0.062260682,1,0.55007936,-0.862288324,-0.193688003,0.001044568,-0.810986741,0.747631968,0,1,0
ENSG00000188747,NOXA1,-0.380438952,4.12E-06,0.930323641,-0.104195407,-0.030406365,1,-0.810805997,0.474648398,1,0,0
ENSG00000165359,INTS6L,-0.128918513,0.109261337,0.656128778,-0.607949095,-0.110552842,0.030634166,-0.81075519,0.657105221,0,0,0
ENSG00000204922,UQCC3,-0.054489521,1,0.584433244,-0.774889849,-0.135877452,0.003015351,-0.810638336,1,0,1,0
ENSG00000108370,RGS9,-0.05295612,1,0.950451258,-0.073315452,-0.022003343,1,-0.810586541,0.338768231,0,0,0
ENSG00000258644,SYNJ2BP-COX16,-0.074491435,0.070205791,0.787231683,-0.34513981,-0.035228209,1,-0.810407196,1,0,0,0
ENSG00000280067,AC023818.1,0.04006434,1,0.817772334,-0.290228839,-0.085910633,1,-0.810100221,0.320296482,0,0,0
ENSG00000243244,STON1,0.233786937,0.355277327,0.86658622,-0.206584799,-0.084523495,1,-0.809929717,0.903298704,0,0,0
ENSG00000140575,IQGAP1,0.361917362,3.74E-05,0.875149007,-0.192399417,-0.058085167,1,-0.809715413,0.758380986,1,0,0
ENSG00000130307,USHBP1,0.017265444,1,1.062542124,0.087520038,0.03088546,1,-0.809680439,1,0,0,0
ENSG00000279522,ENSG00000279522,0.052842989,1,0.78933429,-0.341291671,-0.100767187,0.958157388,-0.809543694,0.308670616,0,0,0
ENSG00000114993,RTKN,-0.051668753,1,0.578400594,-0.789859061,-0.294081217,0.002641469,-0.809454255,1,0,1,0
ENSG00000261487,AC135048.1,0.074525523,1,1.036016821,0.051047428,0.010061147,1,-0.809444945,1,0,0,0
ENSG00000251023,AC114980.1,-0.201901284,0.022497293,1.000467001,0.000673583,0.000169304,1,-0.809417299,1,0,0,0
ENSG00000065883,CDK13,0.02396047,1,0.691037285,-0.533164542,-0.038117034,0.084199606,-0.809334882,0.752670511,0,0,0
ENSG00000180089,TMEM86B,-0.208407165,0.00343363,0.687867022,-0.539798404,-0.117685435,0.088918139,-0.808785552,0.959957941,1,0,0
ENSG00000160058,BSDC1,0.002211006,1,0.593418362,-0.752878528,-0.058576185,0.023409934,-0.80863265,0.293334875,0,0,0
ENSG00000119514,GALNT12,-0.172362681,0.416717739,0.629395163,-0.667962005,-0.196936458,0.011440556,-0.80842475,0.609018518,0,0,0
ENSG00000226711,FAM66C,-0.094128084,0.183340175,0.734355694,-0.445449075,-0.064553491,0.282522758,-0.808141296,0.968307994,0,0,0
ENSG00000062194,GPBP1,-0.028180716,1,0.898142118,-0.154984346,-0.017470488,1,-0.808096542,0.004952308,0,0,1
ENSG00000125844,RRBP1,0.062277211,1,0.639603031,-0.644751319,-0.157511161,0.032507627,-0.807977043,0.803170999,0,0,0
ENSG00000267281,AC023509.3,0.06496631,1,0.720603518,-0.472722401,-0.139511339,0.225820907,-0.807788399,0.646447224,0,0,0
ENSG00000137161,CNPY3,-0.035877434,1,0.697647316,-0.519430204,-0.069334449,0.181251552,-0.807570714,0.965033544,0,0,0
ENSG00000033327,GAB2,-0.192618181,0.465419427,0.53585459,-0.900086532,-0.298156142,0.000505509,-0.807561821,0.560977604,0,1,0
ENSG00000064012,CASP8,0.139877414,0.35978424,0.861476044,-0.215117417,-0.05335231,1,-0.807377475,0.166742606,0,0,0
ENSG00000143224,PPOX,-0.203536777,5.83E-09,0.650147938,-0.62116006,-0.077548634,0.02687022,-0.807199592,0.004816947,1,0,1
